PDB_ID,Experimental_Method
4QPO,X-RAY DIFFRACTION
1QNU,X-RAY DIFFRACTION
7LOO,X-RAY DIFFRACTION
1C79,X-RAY DIFFRACTION
8B66,X-RAY DIFFRACTION
145L,X-RAY DIFFRACTION
6N58,ELECTRON MICROSCOPY
6UU6,X-RAY DIFFRACTION
4WQ1,X-RAY DIFFRACTION
5V8I,X-RAY DIFFRACTION
6GSM,ELECTRON MICROSCOPY
2B0T,X-RAY DIFFRACTION
1PZP,X-RAY DIFFRACTION
8JLL,X-RAY DIFFRACTION
7JTR,X-RAY DIFFRACTION
2ANO,X-RAY DIFFRACTION
7OHF,ELECTRON MICROSCOPY
6LSP,X-RAY DIFFRACTION
1I1Q,X-RAY DIFFRACTION
3IOR,X-RAY DIFFRACTION
4YVG,X-RAY DIFFRACTION
9J4H,X-RAY DIFFRACTION
8IXK,ELECTRON MICROSCOPY
4KZX,X-RAY DIFFRACTION
4ZH2,X-RAY DIFFRACTION
5UMG,X-RAY DIFFRACTION
5WI5,X-RAY DIFFRACTION
3GG2,X-RAY DIFFRACTION
5X87,X-RAY DIFFRACTION
6MRE,X-RAY DIFFRACTION
1ENF,X-RAY DIFFRACTION
8IRL,ELECTRON MICROSCOPY
2FM4,SOLUTION NMR
3L64,X-RAY DIFFRACTION
1L54,X-RAY DIFFRACTION
8VK7,ELECTRON MICROSCOPY
2AW3,X-RAY DIFFRACTION
8PRM,X-RAY DIFFRACTION
4HPX,X-RAY DIFFRACTION
1OWL,X-RAY DIFFRACTION
8XCJ,ELECTRON MICROSCOPY
1H5U,X-RAY DIFFRACTION
7F0D,ELECTRON MICROSCOPY
6WX3,X-RAY DIFFRACTION
5ZLP,X-RAY DIFFRACTION
8OOX,X-RAY DIFFRACTION
4V57,X-RAY DIFFRACTION
8WFT,X-RAY DIFFRACTION
1VZC,X-RAY DIFFRACTION
1D2R,X-RAY DIFFRACTION
7SNG,ELECTRON MICROSCOPY
4K0R,X-RAY DIFFRACTION
4U4Z,X-RAY DIFFRACTION
4G7P,X-RAY DIFFRACTION
7ELM,ELECTRON MICROSCOPY
1F5V,X-RAY DIFFRACTION
4IMA,X-RAY DIFFRACTION
3OGG,X-RAY DIFFRACTION
2DQN,X-RAY DIFFRACTION
1SCD,X-RAY DIFFRACTION
5BR7,X-RAY DIFFRACTION
3VHQ,X-RAY DIFFRACTION
5WK5,ELECTRON MICROSCOPY
2BGU,X-RAY DIFFRACTION
7VUF,X-RAY DIFFRACTION
4FE1,X-RAY DIFFRACTION
8G0F,X-RAY DIFFRACTION
1IDF,X-RAY DIFFRACTION
6ITE,X-RAY DIFFRACTION
4E1A,X-RAY DIFFRACTION
2WUR,X-RAY DIFFRACTION
1UAJ,X-RAY DIFFRACTION
1NNE,X-RAY DIFFRACTION
5YYU,X-RAY DIFFRACTION
6EMW,ELECTRON MICROSCOPY
7XL7,X-RAY DIFFRACTION
6Q4N,X-RAY DIFFRACTION
8C7L,X-RAY DIFFRACTION
3BMB,X-RAY DIFFRACTION
8C4I,X-RAY DIFFRACTION
2CDQ,X-RAY DIFFRACTION
5WVN,X-RAY DIFFRACTION
